itemID	tagID
1	1
0	0
2	3
3	4
4	5
2	6
5	7
6	8
7	9
5	12
10	13
11	14
8	16
13	18
15	20
17	23
19	26
20	27
21	28
22	29
25	32
29	36
23	30
24	31
30	37
31	38
23	39
32	40
33	41
34	42
35	43
36	44
37	45
25	46
26	33
38	14
39	47
41	49
42	50
45	53
46	54
40	55
47	14
23	57
48	58
49	60
50	62
53	65
56	69
58	71
59	73
60	74
48	76
62	77
64	79
65	42
68	82
69	83
70	84
72	86
73	87
71	85
62	88
74	89
75	90
62	92
66	80
78	46
80	14
81	95
83	33
84	97
85	46
86	32
87	98
89	100
90	101
92	102
93	103
91	4
96	106
97	31
98	82
99	107
101	82
105	80
102	109
106	112
104	111
107	81
109	114
110	115
108	116
111	0
112	117
113	59
114	118
116	45
117	120
118	121
119	70
120	122
121	123
122	30
125	125
115	126
126	33
128	81
133	59
135	46
137	116
127	46
126	135
140	138
145	142
144	27
148	45
149	144
150	145
152	147
153	65
147	73
154	148
149	45
155	149
156	150
145	72
157	87
161	59
158	106
162	153
163	154
159	151
160	155
163	156
165	158
167	160
171	164
164	157
172	24
173	166
175	168
176	169
178	170
179	171
180	172
181	173
180	92
182	148
183	174
184	175
185	177
187	82
189	73
188	27
190	87
191	84
192	178
191	45
191	179
193	180
194	181
195	182
198	137
199	186
201	45
203	33
206	191
207	192
208	46
209	13
211	194
214	24
215	46
217	199
218	27
219	200
220	151
219	199
221	109
223	202
224	58
225	204
228	206
232	210
233	211
235	0
226	20
237	150
238	216
239	87
240	87
239	218
243	87
244	109
245	124
239	220
246	95
247	60
248	221
254	224
255	225
258	59
259	229
253	45
257	228
260	73
256	73
253	144
262	233
263	234
267	36
269	240
271	242
272	243
273	109
274	30
275	244
268	239
276	245
278	248
279	249
280	250
282	82
283	253
285	255
286	256
288	4
287	257
289	258
290	82
292	87
293	259
295	261
298	115
299	264
301	267
297	263
305	14
306	198
303	269
307	272
308	83
309	240
310	144
311	273
312	4
313	274
314	275
316	45
317	87
317	122
318	277
320	124
322	1
313	280
324	137
325	261
327	14
317	284
321	285
328	154
329	286
330	287
331	288
332	27
334	290
335	95
337	4
339	9
341	294
344	164
345	297
346	169
347	298
348	299
349	300
351	30
352	302
353	87
348	303
343	296
354	199
356	306
358	308
348	309
359	310
344	312
360	313
362	316
364	117
366	320
367	70
368	150
369	150
364	27
371	322
374	324
374	46
375	325
364	103
373	124
378	329
368	30
379	20
382	14
383	0
384	333
385	29
386	169
387	240
388	14
389	31
390	31
391	150
392	190
384	82
394	334
395	335
396	240
397	336
398	37
399	337
400	338
403	80
404	82
405	339
406	340
409	342
410	264
411	46
413	30
414	24
411	324
415	3
416	344
417	82
419	346
421	32
412	87
423	350
416	351
424	352
421	46
422	81
425	355
420	347
426	84
428	42
420	357
429	359
431	169
434	124
416	235
436	365
437	366
439	368
440	46
441	369
442	190
443	370
440	324
437	371
445	87
446	373
447	374
448	70
449	375
450	145
451	225
453	377
454	378
455	294
456	29
457	379
458	380
454	58
456	382
459	383
460	20
461	384
463	150
464	387
445	388
445	320
466	186
467	390
469	391
457	392
471	46
472	393
470	124
456	396
473	4
477	115
479	401
474	0
482	335
485	60
486	296
488	405
487	404
491	73
492	124
493	408
483	160
494	46
495	409
496	31
497	121
498	410
500	39
501	80
502	412
503	413
504	414
505	30
509	299
511	225
510	82
512	46
513	240
514	27
509	417
515	418
516	121
517	1
519	77
518	0
520	421
521	14
506	415
523	157
508	370
518	425
525	275
514	117
525	426
527	428
528	429
529	430
530	430
532	45
534	433
536	435
537	437
538	150
540	198
531	431
534	366
542	42
543	440
545	263
549	445
550	240
551	294
552	31
548	446
554	448
555	449
556	259
557	292
554	450
558	451
559	452
561	145
560	31
560	453
562	115
562	454
564	456
565	457
566	458
567	459
569	461
571	82
572	464
574	137
576	468
578	32
577	469
581	472
583	121
585	474
588	235
585	477
589	478
590	244
591	409
592	479
593	480
594	45
595	42
587	476
597	482
586	486
584	473
601	487
604	440
605	490
606	46
607	27
608	243
610	59
611	27
614	493
615	494
619	138
616	495
611	117
621	65
623	379
624	225
625	500
622	31
626	501
627	502
628	503
623	504
629	505
630	154
631	506
632	81
634	286
634	33
623	303
635	425
622	508
633	14
632	509
622	82
637	122
639	224
642	263
643	33
644	27
640	342
646	242
648	30
644	117
649	225
650	375
651	267
654	45
653	73
655	30
656	4
657	4
658	515
659	516
660	387
661	517
662	518
663	490
665	115
666	229
668	521
669	81
671	522
673	20
672	31
670	82
677	0
678	243
679	124
680	0
681	525
682	526
683	172
682	530
686	531
687	144
690	151
687	45
692	534
