userID	itemID	tagID
1	1	1
3	0	0
4	2	3
5	3	4
6	0	0
7	4	5
9	2	6
10	5	7
11	6	8
14	9	11
15	5	12
17	6	8
18	11	14
19	12	15
20	6	8
23	13	18
24	5	12
26	1	1
27	0	0
28	6	8
29	15	20
30	5	7
31	1	1
34	2	3
35	8	16
36	11	14
38	11	14
40	0	0
41	6	8
42	17	23
43	6	8
45	2	3
46	13	24
47	0	0
49	2	3
50	0	0
51	19	26
52	2	3
53	2	3
54	5	7
55	20	27
56	21	28
57	22	29
59	24	31
61	22	29
62	26	33
64	29	36
65	23	30
66	24	31
67	24	31
69	24	31
70	24	31
71	31	38
72	23	39
74	23	39
75	33	41
77	34	42
78	32	40
79	34	42
80	34	42
81	23	30
82	33	41
83	35	43
84	36	44
85	20	27
86	37	45
87	24	31
88	25	46
89	37	45
91	22	29
92	23	39
93	26	33
16	23	30
94	22	29
96	39	47
97	23	30
99	20	27
100	37	45
101	41	49
102	42	50
105	26	33
106	24	31
107	44	52
108	45	53
109	20	27
110	41	49
111	26	33
112	34	42
113	24	31
116	34	42
118	40	55
119	41	49
120	41	49
122	37	45
38	47	14
125	24	31
126	23	39
127	40	55
130	45	53
132	22	29
133	22	29
135	23	30
136	40	55
137	24	31
138	22	29
139	38	14
140	41	49
143	49	60
145	50	62
146	50	62
147	51	63
152	55	68
153	56	69
154	57	70
155	58	71
156	51	72
157	59	73
158	53	65
159	60	74
162	56	69
163	62	77
166	65	42
167	66	80
168	67	81
171	70	84
172	69	83
173	71	85
174	72	86
175	65	42
176	71	85
177	73	87
178	70	84
179	71	85
182	70	84
183	74	89
184	68	82
185	75	90
186	65	42
187	75	90
188	69	83
189	70	84
191	63	84
191	70	84
192	70	84
194	68	82
195	70	84
196	68	82
197	68	82
198	78	46
200	70	84
202	70	84
203	80	14
205	68	82
206	70	84
207	80	14
208	73	87
209	71	85
211	81	95
213	83	33
214	81	95
215	81	95
216	84	97
217	81	95
218	85	46
219	85	46
220	81	95
221	86	32
222	87	98
224	89	100
225	84	97
226	90	101
227	81	95
228	91	4
229	87	98
198	85	46
230	92	102
231	84	97
232	81	95
233	93	103
234	91	4
235	84	97
236	91	4
237	95	105
238	83	33
239	96	106
240	97	31
241	96	106
242	98	82
243	96	106
184	97	31
244	97	31
247	96	106
197	101	82
194	101	82
196	97	31
196	98	82
196	101	82
248	102	109
250	104	111
251	97	31
252	97	31
253	97	31
204	105	80
205	101	82
254	102	109
255	106	112
256	97	31
257	97	31
258	98	82
259	104	111
260	102	109
261	97	31
262	107	81
168	107	81
265	110	115
267	111	0
53	112	117
269	114	118
271	116	45
272	117	120
273	118	121
274	119	70
275	120	122
276	121	123
277	122	30
154	119	70
203	123	14
278	120	122
279	111	0
233	112	117
280	124	124
281	125	125
283	119	70
284	112	117
286	127	32
287	128	81
291	126	33
294	133	59
213	126	132
296	135	46
218	127	46
299	126	135
302	139	137
303	140	138
308	144	27
310	147	73
311	149	144
312	150	145
314	152	147
315	153	65
317	147	73
156	145	72
321	147	73
322	147	73
323	147	73
324	155	149
325	156	150
235	147	73
326	145	72
327	157	87
328	158	106
329	159	151
330	160	152
331	161	59
332	158	106
333	162	153
334	163	154
337	159	151
338	160	155
339	163	156
340	159	151
341	164	157
239	158	106
342	165	158
343	158	106
346	159	151
347	163	154
349	167	160
350	158	106
351	163	156
352	161	59
354	163	154
356	159	151
268	161	59
359	171	164
361	164	157
363	163	154
364	158	106
365	172	24
366	173	166
368	173	166
182	175	168
369	176	169
370	176	169
221	177	32
372	178	170
374	181	173
319	182	148
376	183	174
377	184	175
378	172	24
379	173	166
380	172	24
381	173	166
382	185	177
238	186	33
383	180	172
385	188	27
387	188	27
177	190	87
388	188	27
178	191	84
389	192	178
390	191	45
182	191	179
391	188	27
395	188	27
396	195	182
307	188	27
308	188	27
180	187	82
399	193	180
400	199	186
310	189	73
271	201	45
191	191	84
196	187	82
194	187	82
403	189	73
404	187	82
320	201	45
195	191	84
205	187	82
206	191	84
406	203	33
233	188	27
257	187	82
408	188	27
409	188	27
411	195	182
413	188	27
415	205	190
299	206	191
417	207	192
419	209	13
421	208	46
423	211	194
426	214	24
378	214	24
380	214	24
427	215	46
429	216	198
432	219	200
433	220	151
434	218	27
435	219	199
337	220	151
437	218	27
438	218	27
441	225	204
387	218	27
265	227	115
442	228	206
307	218	27
392	218	27
445	231	209
446	232	210
447	217	199
448	233	211
405	218	27
452	226	20
454	220	151
233	218	27
455	232	210
408	218	27
456	236	215
457	237	150
458	238	216
459	239	87
459	240	87
461	241	59
462	239	218
465	238	216
466	244	109
468	245	124
469	239	220
470	245	124
471	246	95
472	247	60
473	238	216
474	239	87
475	248	221
476	249	81
477	250	168
478	246	95
479	251	222
89	253	45
481	254	224
482	255	225
486	257	228
461	258	59
487	259	229
100	253	45
488	257	228
489	252	230
490	260	73
490	256	73
122	253	144
493	257	228
495	262	233
496	263	234
49	254	224
444	266	238
499	257	228
64	267	36
500	268	239
501	269	240
502	270	241
503	271	242
505	273	109
458	271	242
507	275	244
508	268	239
510	271	242
511	271	242
512	271	242
514	271	242
517	271	242
519	271	242
520	278	248
521	279	249
43	268	239
522	271	242
135	274	30
524	280	250
525	274	30
526	281	251
67	282	82
528	283	253
530	285	255
532	287	257
533	288	4
506	282	82
535	289	258
110	282	82
106	282	82
540	283	253
541	286	256
542	286	256
546	288	4
547	287	257
548	293	259
113	282	82
113	290	82
550	295	261
551	286	256
553	282	82
496	290	82
554	286	256
555	282	82
556	282	82
556	290	82
557	295	261
559	282	82
560	282	82
561	282	82
562	286	256
441	296	262
563	297	263
265	298	115
564	299	264
442	298	265
393	301	267
565	297	263
567	303	269
570	297	263
571	303	269
207	305	14
574	308	83
578	312	4
579	313	274
580	314	275
390	316	45
582	311	273
177	317	87
583	317	122
584	318	277
585	320	124
586	321	279
587	322	1
301	313	280
588	309	240
589	323	281
192	316	45
302	324	137
591	320	124
592	311	273
453	311	273
594	326	124
228	312	4
278	317	122
595	318	277
596	320	124
207	327	14
208	317	284
282	314	275
598	321	285
599	318	277
601	320	124
602	320	124
603	312	4
604	328	154
605	329	286
117	332	27
607	328	154
608	328	154
609	328	154
612	335	95
614	328	154
45	337	4
616	338	292
617	339	9
618	340	293
619	341	294
621	343	296
83	339	9
623	345	297
624	346	169
626	348	299
627	349	300
628	350	301
630	352	302
631	353	87
632	353	87
633	348	303
634	343	296
635	339	9
637	351	30
638	354	199
641	348	303
642	356	306
643	339	9
12	339	9
19	358	308
645	348	299
606	344	287
646	354	199
459	353	87
647	348	309
648	348	299
649	348	303
650	354	199
651	359	310
605	344	312
653	360	313
654	343	296
655	353	87
658	351	30
660	343	296
128	351	30
662	363	317
667	367	70
668	368	150
668	369	150
240	371	322
444	369	150
585	373	124
219	374	324
418	374	46
307	364	27
586	375	325
670	375	325
671	375	325
354	376	326
672	364	103
594	373	124
198	374	324
675	378	329
676	368	30
452	379	20
154	367	70
153	375	325
569	368	150
679	375	325
680	364	117
325	368	150
681	375	325
682	375	325
683	375	325
684	384	333
91	385	29
639	386	169
501	387	240
685	389	31
685	390	31
686	391	150
688	392	190
689	390	31
690	390	31
537	389	31
691	386	169
504	389	31
106	384	82
692	393	124
534	389	31
693	389	31
693	390	31
695	389	31
695	390	31
27	383	0
697	391	150
105	394	334
541	395	335
698	386	169
700	392	190
701	386	169
113	389	31
702	389	31
703	384	333
553	384	82
38	388	14
704	394	334
36	388	14
705	386	169
706	389	31
40	383	0
707	384	333
708	390	31
125	389	31
709	391	150
710	398	37
132	385	29
711	386	169
133	385	29
559	384	82
560	399	337
47	383	0
712	384	333
713	392	190
714	392	190
50	383	0
715	400	338
137	389	31
137	390	31
415	392	190
717	393	124
718	396	240
233	402	27
719	403	80
720	405	339
721	406	340
282	408	275
722	406	340
723	409	342
724	410	264
725	411	46
726	411	46
728	411	46
730	413	30
732	413	30
733	414	24
734	413	30
736	411	324
739	416	344
740	417	82
742	419	346
743	420	347
744	413	30
746	411	46
286	421	32
748	413	30
327	412	87
751	423	350
752	412	87
754	409	342
755	416	351
756	424	352
757	413	30
758	417	82
760	411	46
760	421	46
168	422	81
762	425	355
177	412	87
763	420	347
564	410	264
185	409	342
218	411	46
218	421	46
53	415	3
371	414	24
765	428	42
189	426	84
396	420	357
192	426	84
195	426	84
766	424	352
768	429	359
571	413	30
200	426	84
770	416	344
429	430	198
771	416	351
772	431	169
206	426	84
361	410	264
718	433	240
280	434	124
774	416	235
426	414	24
776	411	46
380	414	24
210	412	87
777	413	30
325	436	365
782	438	367
783	439	368
776	440	46
784	442	190
785	443	370
736	440	324
786	437	371
729	445	87
789	447	374
789	448	70
790	446	373
791	449	375
793	450	145
794	451	225
796	453	377
329	451	225
797	449	375
798	454	378
799	455	294
800	456	29
801	449	375
802	457	379
803	456	29
804	447	374
805	458	380
806	449	375
141	454	58
809	459	383
810	447	374
812	460	20
813	451	225
815	461	384
817	451	225
668	463	150
819	449	375
716	456	29
820	447	374
821	464	387
822	449	375
190	455	294
824	449	375
825	445	388
826	449	375
827	449	375
828	445	320
400	466	186
148	447	374
830	469	391
674	451	225
273	456	29
594	470	124
832	451	225
198	471	46
833	457	379
450	446	373
274	448	70
837	449	375
838	472	393
839	472	393
325	463	150
208	445	87
840	447	374
283	448	70
843	473	4
846	477	115
660	478	400
847	479	401
849	481	387
50	474	0
850	482	335
47	482	0
851	483	160
852	485	60
853	486	296
855	487	404
264	486	296
856	488	405
857	487	404
858	489	406
860	491	73
585	492	124
861	493	408
349	483	160
862	492	124
418	494	46
863	495	409
864	496	31
865	492	124
867	487	404
322	491	73
204	501	80
869	486	296
870	502	412
871	493	408
721	486	296
872	503	413
682	487	404
875	504	414
876	505	30
879	508	370
880	509	299
506	510	82
881	511	225
534	510	82
883	512	46
645	509	299
884	509	299
885	505	30
699	513	240
886	514	27
99	514	27
648	509	417
538	510	82
889	515	418
890	511	225
891	509	299
109	514	27
27	516	121
892	517	419
26	517	1
117	514	27
894	518	0
895	510	82
896	519	77
897	511	225
898	518	0
31	517	1
552	510	82
120	509	420
899	518	0
38	521	14
903	506	415
904	504	414
905	504	414
613	509	417
555	510	82
906	523	157
907	511	225
556	510	82
908	524	30
910	518	425
911	525	275
561	510	82
912	514	117
915	527	428
916	528	429
292	529	430
292	530	430
917	531	431
918	530	430
390	532	45
431	530	430
309	536	435
302	534	436
311	532	45
569	538	150
320	532	45
922	539	220
837	534	436
923	539	438
924	531	431
325	538	150
781	534	366
925	530	430
926	538	150
79	542	42
77	542	42
638	543	440
928	543	440
531	544	441
929	545	263
97	546	442
932	550	240
933	551	294
689	552	31
685	552	31
504	552	31
934	543	440
106	552	31
103	542	42
646	543	440
936	553	447
690	552	31
938	554	448
693	552	31
939	549	445
940	555	449
941	543	440
650	543	440
699	550	240
695	552	31
696	552	31
942	545	263
548	556	259
702	552	31
113	552	31
944	557	292
553	552	31
706	552	31
945	554	450
125	552	31
556	552	31
946	558	451
47	549	445
947	543	440
948	559	452
137	552	31
950	561	145
242	560	31
951	560	453
265	562	115
184	560	31
954	564	456
956	566	458
957	567	459
958	560	31
356	560	31
196	560	453
959	567	459
960	560	31
251	560	31
200	560	31
962	567	459
963	562	115
964	569	461
965	570	462
966	567	459
967	569	461
968	560	31
969	567	459
261	560	31
971	564	456
972	560	31
302	574	137
975	576	468
421	578	32
279	580	0
978	580	0
456	582	215
980	583	121
981	584	473
982	585	474
985	588	235
986	585	477
987	589	478
988	590	244
989	591	409
990	592	479
991	592	479
992	593	480
993	589	478
994	592	479
390	594	45
995	589	478
189	594	45
