itemID	tagID
1	0
1	4
1	5
1	6
2	0
2	4
2	1
2	2
2	7
2	3
2	8
2	9
3	0
3	1
3	7
3	3
3	8
3	10
3	11
4	12
4	13
5	14
5	15
5	13
5	16
5	17
6	14
6	18
6	19
7	4
7	20
8	0
8	4
8	1
8	7
8	21
9	2
9	22
11	4
11	1
11	2
11	19
11	23
11	24
11	30
12	4
12	19
12	20
12	23
13	1
13	19
13	24
13	25
13	26
14	1
14	19
14	24
16	4
16	19
16	23
16	31
17	4
17	19
17	20
17	32
19	14
19	16
20	2
22	2
23	2
24	2
26	4
27	34
30	36
33	2
34	37
36	33
37	38
38	39
39	4
41	41
42	42
43	13
44	33
45	43
46	13
47	16
48	44
50	13
53	46
54	47
54	48
55	43
57	33
58	50
60	2
61	2
64	51
66	52
67	43
68	53
69	43
70	49
71	35
72	54
73	33
29	56
74	55
75	55
76	55
77	55
78	57
79	55
81	56
82	56
83	56
86	58
86	59
87	58
88	56
89	58
90	55
91	55
92	55
93	59
94	58
96	59
97	56
97	57
99	55
100	58
101	56
101	55
102	59
103	55
103	59
106	62
106	63
106	64
106	65
107	66
108	66
108	67
109	13
109	68
110	13
110	69
110	68
110	70
111	13
111	69
111	33
112	69
112	68
112	71
113	69
113	33
115	13
115	69
115	68
118	75
119	33
120	75
121	72
122	75
123	75
123	73
124	75
125	76
126	75
127	33
127	75
129	74
130	77
131	75
132	73
133	75
134	75
136	75
136	76
138	75
138	73
138	74
140	75
142	33
144	73
145	29
145	78
145	79
146	75
147	80
147	69
149	75
151	72
152	33
152	36
152	75
152	72
153	72
154	72
155	75
156	75
158	75
161	33
162	75
163	36
165	75
166	75
167	75
168	33
169	75
170	75
170	76
171	75
171	76
172	74
173	73
173	74
174	76
176	75
178	33
179	75
180	81
181	36
182	72
183	75
184	75
184	72
185	75
186	75
188	72
189	75
189	72
190	72
191	75
192	75
192	77
193	76
194	73
195	73
196	73
197	76
198	75
199	75
200	33
202	74
203	75
204	75
205	33
206	75
206	74
207	74
208	33
209	82
209	83
211	82
213	36
213	82
213	83
215	36
216	82
216	83
217	36
218	83
219	36
219	82
220	36
220	82
221	13
222	84
223	85
224	85
225	13
225	85
226	85
227	85
229	85
230	33
230	87
231	85
233	62
235	13
236	13
238	88
238	89
238	90
239	88
241	53
241	2
241	69
241	88
241	91
242	2
242	88
242	36
242	92
243	2
243	11
243	93
245	13
245	11
247	2
247	33
247	36
247	82
247	62
221	2
221	11
29	2
29	33
29	38
29	36
29	82
248	33
248	36
248	89
248	90
37	33
37	36
37	82
41	47
41	94
41	52
249	38
249	36
75	33
75	38
75	36
75	82
250	33
250	38
250	36
250	86
251	47
251	95
251	33
117	33
117	36
117	96
117	97
48	33
48	36
48	82
252	13
252	33
252	98
252	99
119	38
119	36
119	82
119	44
84	2
84	88
84	33
84	91
222	38
222	36
254	2
254	36
255	2
255	93
256	62
256	63
256	100
108	13
108	11
108	85
257	13
257	11
258	13
258	11
258	85
259	13
259	86
260	13
260	33
260	86
261	13
261	62
261	63
261	85
262	13
262	11
262	33
264	13
264	11
265	62
265	63
265	85
266	62
266	63
266	85
267	13
267	33
