itemID	tagID
1	1
1	2
2	3
3	4
4	5
6	7
6	8
6	9
7	10
7	11
8	12
10	14
11	14
12	15
13	14
14	14
15	15
16	15
17	15
18	14
19	14
20	14
21	14
22	14
24	14
25	14
26	14
27	14
28	14
29	15
32	14
33	14
34	14
35	14
36	16
37	17
38	18
38	19
39	20
40	21
41	22
42	23
43	24
44	25
44	26
45	27
45	28
21	29
46	30
46	31
47	32
49	33
50	33
51	33
52	33
53	33
54	33
55	34
55	35
56	36
57	37
57	38
57	39
58	40
58	38
60	42
60	43
61	44
61	45
62	46
62	47
62	48
66	56
66	57
66	58
67	59
68	60
69	61
69	62
69	63
69	64
69	52
69	56
69	65
70	66
70	7
70	67
71	37
71	67
71	68
72	69
72	70
72	55
73	39
74	46
74	67
74	71
75	72
78	78
78	79
79	51
80	72
82	80
82	81
83	82
83	83
83	55
86	86
88	35
89	83
89	60
89	88
90	77
90	89
90	39
91	77
91	90
92	83
92	91
92	60
93	83
93	92
93	60
95	94
98	36
99	83
99	92
99	60
99	88
100	95
101	93
103	97
103	98
103	93
104	54
104	93
105	99
105	100
106	101
107	102
108	103
108	104
109	106
110	107
110	108
111	107
111	108
112	109
113	106
114	96
115	110
115	111
116	112
117	113
117	114
118	115
3	64
120	117
120	118
121	119
56	120
122	73
122	121
123	5
123	10
124	10
125	103
126	103
127	122
129	124
129	125
86	120
130	126
131	77
122	127
132	128
133	109
133	129
134	130
135	130
80	32
138	56
138	133
102	96
78	134
136	135
136	136
136	137
136	138
139	139
139	133
140	140
141	141
142	140
144	140
145	140
146	142
147	142
148	142
149	143
149	144
126	145
151	146
152	49
150	147
153	50
153	148
153	149
1	152
1	153
155	154
86	50
86	155
6	69
156	156
156	157
156	158
157	159
154	160
158	161
159	10
160	159
4	10
161	162
162	164
163	165
164	166
165	65
166	106
167	167
168	106
169	106
170	57
170	106
172	167
173	168
97	169
174	5
174	170
79	173
177	171
178	171
179	171
182	171
183	171
185	171
186	171
188	171
189	171
190	171
89	171
191	171
192	171
193	171
194	171
195	173
196	171
197	171
136	171
198	171
199	173
200	173
201	173
202	173
173	173
203	173
204	173
205	173
206	173
207	173
208	173
210	173
212	174
212	175
215	178
216	179
217	176
218	10
219	180
219	181
220	64
220	182
222	5
222	182
223	182
224	184
226	185
227	186
228	187
57	189
230	190
231	25
233	96
234	185
236	191
56	187
237	25
238	153
239	192
240	185
241	193
242	192
243	185
244	185
245	153
246	16
247	153
248	185
249	194
250	194
251	194
253	194
132	194
254	194
257	56
258	25
259	25
260	189
261	192
67	185
262	195
40	189
263	196
264	188
265	191
266	191
70	191
271	194
106	197
273	195
274	56
275	56
276	198
277	56
278	56
11	199
279	56
280	200
281	153
283	191
284	193
285	197
286	185
287	198
288	192
290	201
291	190
292	199
294	186
295	202
296	188
297	185
298	96
299	189
300	56
301	190
302	192
303	25
305	185
306	191
307	198
309	190
310	190
311	190
312	69
314	194
315	194
317	194
319	194
320	194
322	194
324	69
325	200
326	196
329	199
330	203
110	193
331	193
333	190
334	191
335	16
336	190
337	185
338	190
339	190
340	185
342	202
343	189
344	205
345	193
347	202
348	190
349	185
351	193
352	193
353	191
354	185
356	56
357	192
358	190
359	103
360	103
361	103
362	200
364	16
365	25
366	201
119	193
367	186
369	185
370	192
371	193
127	185
372	193
4	185
373	189
374	193
375	190
376	205
378	185
379	185
380	193
381	193
383	16
384	191
385	153
21	204
223	185
386	199
387	202
388	103
389	103
390	185
24	204
391	185
392	189
394	195
83	198
395	201
396	16
26	204
397	16
398	190
399	199
400	195
401	189
402	187
403	195
28	204
405	185
406	190
407	16
408	187
409	199
411	192
30	199
31	204
413	204
414	188
415	199
417	203
419	191
420	16
421	189
422	206
12	7
12	64
423	207
424	208
220	208
425	209
426	210
426	153
427	211
428	41
429	74
430	212
431	213
432	189
433	214
434	189
435	5
435	215
269	216
436	217
436	218
16	220
191	166
191	221
439	12
440	120
440	187
441	187
402	120
408	120
442	120
442	155
152	224
444	225
445	226
446	227
447	228
448	229
4	177
451	105
452	232
453	221
454	36
455	43
456	56
457	233
458	40
459	153
59	39
460	234
461	40
461	133
462	36
462	235
242	236
250	128
250	237
463	238
463	38
260	239
260	232
40	239
464	240
464	74
464	70
465	5
466	241
467	241
467	238
468	242
280	58
470	244
470	234
471	39
472	245
76	246
76	247
76	75
302	248
474	166
475	51
475	217
477	239
477	21
337	80
347	246
347	251
478	252
356	253
356	218
480	12
481	110
481	207
137	10
137	38
482	255
482	156
482	256
483	39
484	257
484	234
484	258
220	259
485	12
486	232
145	98
145	260
401	239
401	263
489	236
489	264
490	265
491	262
451	266
492	267
492	268
493	250
494	12
494	269
495	271
495	272
495	273
495	274
495	275
495	276
86	39
86	276
420	278
498	279
499	280
500	12
500	273
191	281
502	39
503	234
504	282
504	283
199	284
505	285
91	51
91	277
506	12
506	273
507	286
202	287
202	276
508	288
509	289
173	290
510	37
511	98
204	39
512	43
206	12
515	249
208	291
208	292
208	267
516	57
517	38
518	293
520	232
520	295
521	110
521	12
521	80
521	272
521	296
522	47
523	297
524	294
509	298
244	177
525	299
526	5
527	2
192	32
310	301
530	10
112	10
124	302
531	102
532	10
447	304
534	305
2	306
535	175
536	193
537	259
539	190
540	227
541	284
543	76
543	6
544	308
546	308
547	144
549	308
550	308
551	144
552	25
553	220
440	309
146	220
554	310
555	5
555	109
555	56
491	8
491	156
491	311
412	312
417	5
417	313
417	314
417	315
556	316
557	307
79	317
226	296
558	180
559	43
271	40
272	74
560	23
561	41
561	39
288	248
562	243
562	318
565	10
567	10
567	321
568	322
569	299
570	323
36	324
571	292
571	267
572	325
425	73
573	65
574	326
575	327
576	328
278	52
366	329
578	56
324	113
579	25
580	331
45	61
45	332
581	333
582	240
188	334
583	335
584	65
219	336
585	337
586	17
587	338
588	165
589	121
590	217
592	319
592	340
592	341
593	342
594	343
595	56
596	199
597	236
597	101
341	290
14	344
598	345
599	199
600	344
601	130
34	344
602	343
603	346
604	347
605	348
606	287
608	349
609	209
610	348
611	350
612	350
613	351
243	80
614	221
615	352
377	122
616	121
617	322
617	353
617	354
617	355
618	121
63	40
620	354
69	356
622	56
623	61
623	357
73	67
624	244
626	355
627	127
628	244
629	20
324	7
475	322
475	358
630	121
631	121
79	240
79	322
79	355
632	354
633	240
635	121
636	359
45	327
45	355
640	67
641	130
643	354
391	240
391	121
391	363
644	157
645	364
646	232
647	365
647	20
649	157
650	121
651	366
653	40
653	121
654	244
656	368
657	121
657	369
658	370
31	14
659	244
659	364
34	204
661	362
663	355
666	20
667	67
667	320
297	373
669	56
669	375
670	376
354	374
672	56
674	374
675	377
675	374
676	377
676	378
677	56
678	207
679	379
56	10
56	256
56	381
78	382
481	183
481	382
177	37
177	255
177	382
377	10
377	311
377	384
57	320
58	385
58	6
427	346
682	67
236	67
683	388
685	390
685	183
685	210
685	391
685	388
686	389
687	5
687	210
688	41
688	1
691	109
691	183
691	56
694	395
452	5
452	166
145	104
21	385
21	210
21	388
696	190
696	396
698	67
699	385
699	183
699	56
700	123
700	63
701	322
456	377
702	398
703	377
269	377
466	377
142	377
705	377
707	377
87	221
133	400
582	401
248	122
14	402
21	402
26	402
711	64
712	14
28	402
600	402
600	14
30	14
713	64
31	402
413	402
413	14
34	402
714	65
715	403
715	224
634	199
716	404
45	183
717	199
717	405
718	291
718	16
718	406
719	156
719	44
719	407
719	408
720	409
238	152
238	410
238	295
455	411
428	377
239	412
239	413
721	414
723	102
429	415
689	5
724	399
724	415
725	416
725	57
726	417
299	419
299	420
728	37
729	415
564	319
731	409
377	422
16	423
23	424
732	409
733	409
734	360
29	424
735	313
736	425
736	426
737	409
738	427
662	67
662	428
740	256
740	154
740	429
740	430
741	431
741	432
742	429
384	67
743	30
744	97
745	435
491	61
747	10
748	63
187	436
185	437
711	377
237	113
749	438
750	438
747	438
751	40
751	150
751	113
751	440
752	56
753	441
754	441
755	441
756	441
757	441
758	441
760	441
761	441
762	441
763	441
764	441
765	441
766	441
767	441
752	441
768	441
769	441
770	441
772	441
774	441
775	441
776	441
277	236
543	84
543	442
780	443
782	279
466	444
783	74
784	166
347	445
785	444
785	446
786	406
787	293
788	110
789	113
790	444
791	447
580	73
792	305
794	213
644	77
542	129
796	36
29	7
797	449
798	131
799	110
800	41
801	235
802	131
803	269
804	450
805	110
806	451
807	44
808	360
420	41
809	41
811	130
696	121
812	453
57	455
814	456
815	457
460	457
461	457
161	457
242	457
63	455
816	455
260	457
40	457
817	457
693	455
818	457
77	455
14	457
819	455
787	455
484	457
24	457
425	457
822	457
823	457
824	457
31	457
825	457
827	457
701	457
503	457
604	457
742	456
211	456
829	456
830	456
831	457
832	457
453	456
834	457
835	458
836	459
236	56
837	302
688	81
838	331
283	461
470	336
596	56
304	463
729	26
452	465
840	42
459	80
841	220
155	42
843	466
844	467
450	468
845	469
56	56
56	470
780	24
617	400
686	470
614	56
749	388
846	24
429	56
251	56
68	471
847	388
467	388
848	400
849	435
441	470
851	472
78	401
79	400
852	473
45	471
853	474
854	473
855	220
491	400
408	470
856	475
858	474
859	475
860	223
861	220
863	476
418	42
867	225
868	473
869	475
870	42
871	475
872	475
874	109
875	472
186	24
877	477
878	478
879	12
880	479
880	116
536	116
56	110
56	221
56	450
487	329
341	103
12	480
881	115
882	115
780	263
267	481
267	263
68	482
68	483
69	483
74	263
883	263
472	482
472	483
475	482
475	483
78	263
79	263
354	482
368	263
568	483
377	263
387	483
36	263
129	263
491	263
492	483
888	483
889	482
889	483
891	482
891	483
575	483
892	483
202	481
681	484
681	485
681	486
893	487
122	3
894	487
894	488
250	3
251	489
896	484
896	485
896	486
544	489
847	487
847	490
467	487
467	490
560	3
898	3
899	484
899	485
899	486
289	484
166	487
900	491
900	492
900	488
142	492
294	484
294	485
294	486
901	489
626	487
626	490
302	3
902	3
903	3
905	490
907	489
908	489
347	490
42	490
365	487
909	489
910	3
160	489
367	3
368	489
911	491
911	492
912	489
134	489
915	489
146	489
916	3
21	489
917	491
917	492
918	485
82	3
919	489
38	487
38	488
920	489
648	489
921	489
922	491
922	492
922	489
734	489
923	489
147	489
824	489
494	489
601	489
417	485
709	3
487	261
924	7
925	377
926	54
628	332
318	194
927	61
928	61
914	493
23	15
931	496
932	497
734	498
933	497
934	499
934	500
429	501
897	502
294	501
935	73
935	503
936	65
284	505
938	443
938	506
939	53
939	507
939	508
818	225
940	509
940	510
350	511
350	512
941	63
941	285
942	118
911	513
115	514
943	515
187	516
944	319
944	518
945	519
946	521
946	522
177	190
947	51
947	213
211	74
949	334
950	524
951	134
952	12
513	525
953	401
954	526
955	526
849	526
956	526
958	526
959	526
960	526
961	526
962	61
442	527
963	528
964	528
965	70
113	528
195	376
508	183
966	158
648	313
695	212
967	529
968	529
969	529
970	529
971	530
972	529
350	505
973	532
227	227
227	428
230	0
974	133
976	113
977	274
977	0
235	113
978	0
978	428
979	133
981	533
982	106
982	534
982	0
982	428
242	227
983	133
245	0
984	428
985	227
985	428
987	165
66	0
988	532
991	535
992	113
993	532
994	274
994	0
995	274
995	0
998	250
999	51
1000	536
474	250
475	536
1001	532
630	274
630	537
630	0
1002	274
1002	0
745	165
745	0
476	250
1003	532
1004	428
1005	133
1006	536
1007	196
1008	196
1009	538
1009	428
564	274
564	0
1011	532
1012	535
1013	51
1014	196
1015	276
1016	274
1016	0
1017	196
1018	133
1019	532
1020	196
368	113
0	274
0	0
1021	532
1022	535
1024	274
1024	0
220	227
220	428
793	532
1025	533
450	428
930	0
21	0
1026	532
1027	227
756	196
1029	51
1030	274
1031	227
1032	196
1033	196
1034	535
711	113
711	0
931	0
1035	113
1036	539
402	0
1037	133
1038	227
490	540
1039	196
1040	196
1041	274
1041	227
1041	0
1041	428
1042	196
855	541
856	532
1043	133
1044	196
738	196
1045	196
1046	536
1047	276
1048	196
1049	196
1050	196
1052	541
1053	274
1053	0
1054	113
1055	216
1056	196
1057	534
1058	274
1058	0
416	113
1059	274
1059	0
34	0
1060	196
1061	196
663	0
663	428
1062	532
875	250
185	133
1063	133
1064	532
1065	165
188	532
1066	541
192	276
1067	533
195	541
195	428
196	288
1068	227
136	532
1069	288
1070	532
1071	539
1072	196
92	288
1073	274
1074	542
204	532
1076	133
1077	543
1077	538
1078	544
205	533
1079	542
1080	542
1081	113
1082	545
803	276
1083	539
1084	546
438	113
1085	288
103	542
1086	536
1087	547
1088	548
186	549
1089	475
571	550
202	551
202	552
519	292
1090	553
1091	543
1092	153
459	291
507	241
1093	555
1094	555
700	555
5	305
1095	556
1096	232
519	54
229	46
229	388
1097	114
780	557
780	558
780	559
1098	377
63	320
63	560
1100	561
689	226
689	562
689	563
1101	564
288	565
1102	565
693	566
997	5
997	70
997	567
997	468
1103	12
1103	365
1103	423
1104	306
1105	568
1106	569
1108	131
1109	571
1109	565
1109	572
1110	573
0	574
0	236
0	575
0	454
0	576
1111	10
695	577
377	578
377	579
377	195
377	391
377	580
377	581
377	398
1113	585
382	342
382	586
1114	587
1114	588
569	37
1116	590
1116	591
1116	592
